0 SpO2 Coeff  0 0 0 0  FFD7FBDD  0AB61FE
Ver: 0 32 9 23
rd algo size: 0 20 
rd algo size: 0 52 
rd algo size: 4 0 
sens+algo 
1.2 Status: 0
1.5 Status: 0
1.6 Status: 0
1.7 Status: 0
1.8 Status: 0
map leds to slots 0
map SpO2 to slots/PDs 0
1.14 status: 0
1.31 part id afe 0 36
1.32 who accel 0 1b
ppg1,ppg2,ppg3,ppg4,x,y,z,hr,hr_conf,spo2,spo2_conf,spo2_lo,spo2_unrel,scd,
430965,442382,2333,0,12,5,1008,709,0,0,0,0,0,3,
430784,442264,2336,0,14,5,1006,709,0,0,0,0,0,3,
430594,442138,2340,0,15,7,1007,709,0,0,0,0,0,3,
430426,442039,2347,0,14,6,1008,709,0,0,0,0,0,3,
430184,441899,2351,0,13,4,1007,709,0,0,0,0,0,3,
430055,441798,2357,0,12,5,1008,711,0,0,0,0,0,3,
429614,441575,2352,0,14,5,1005,711,0,0,0,0,0,3,
428147,440891,2328,0,16,5,1005,711,0,0,0,0,0,3,
426990,440372,2317,0,13,5,1005,711,0,0,0,0,0,3,
426360,440111,2308,0,11,4,1009,711,0,0,0,0,0,3,
426098,440036,2305,0,14,7,1003,714,0,0,0,0,0,3,
425901,439952,2301,0,15,5,1005,714,0,0,0,0,0,3,
425657,439824,2295,0,12,4,1006,714,0,0,0,0,0,3,
425686,439857,2297,0,12,5,1005,714,0,0,0,0,0,3,
425924,439998,2297,0,13,4,1008,714,0,0,0,0,0,3,
426101,440089,2294,0,14,6,1007,717,0,0,0,0,0,3,
426032,440038,2293,0,15,5,1003,717,0,0,0,0,0,3,
426038,440038,2292,0,13,5,1007,650,100,0,0,0,0,3,
426176,440113,2293,0,11,3,1008,650,100,0,0,0,0,3,
426139,440078,2302,0,12,3,1005,650,100,0,0,0,0,3,
426095,440023,2311,0,15,4,1009,650,100,0,0,0,0,3,
426140,440025,2316,0,16,4,1005,650,100,0,0,0,0,3,
426124,440024,2322,0,14,6,1006,650,100,0,0,0,0,3,
426247,440066,2324,0,13,4,1006,650,100,0,0,0,0,3,
426384,440151,2330,0,10,2,1005,773,100,0,0,0,0,3,
426471,440229,2333,0,14,6,1008,771,100,0,0,0,0,3,
426754,440370,2336,0,13,5,1009,768,100,0,0,0,0,3,
427276,440682,2335,0,17,5,1005,763,100,0,0,0,0,3,
427951,441029,2328,0,17,5,1005,757,100,0,0,0,0,3,
428251,441202,2328,0,10,4,1008,753,100,0,0,0,0,3,
427453,440758,2317,0,10,0,1003,755,100,0,0,0,0,3,
426179,440135,2297,0,12,4,1004,753,100,0,0,0,0,3,
425247,439727,2284,0,15,7,1004,749,100,0,0,0,0,3,
424849,439563,2273,0,17,7,1009,745,100,0,0,0,0,3,
424634,439464,2265,0,14,6,1005,744,100,0,0,0,0,3,
424549,439460,2264,0,13,5,1005,741,100,0,0,0,0,3,
424721,439581,2263,0,12,4,1004,738,100,0,0,0,0,3,
424966,439668,2265,0,11,5,1005,736,100,0,0,0,0,3,
425054,439670,2266,0,11,7,1006,733,100,0,0,0,0,3,
425082,439689,2262,0,13,5,1009,732,100,0,0,0,0,3,
424880,439568,2266,0,11,4,1007,729,100,0,0,0,0,3,
424791,439497,2268,0,12,5,1006,723,100,0,0,0,0,3,
424877,439572,2268,0,13,7,1004,717,100,0,0,0,0,3,
424943,439582,2269,0,16,8,1008,714,100,0,0,0,0,3,
424975,439573,2268,0,13,6,1008,712,100,0,0,0,0,3,
425053,439605,2271,0,13,6,1006,709,100,0,0,0,0,3,
425115,439609,2273,0,11,6,1007,706,100,0,0,0,0,3,
425153,439619,2276,0,11,7,1008,703,100,0,0,0,0,3,
425229,439639,2279,0,15,6,1006,700,100,0,0,0,0,3,
425388,439748,2280,0,14,7,1005,696,100,0,0,0,0,3,
425649,439881,2279,0,12,6,1006,693,100,0,0,0,0,3,
425932,439996,2287,0,12,6,1005,691,100,0,0,0,0,3,
426057,440024,2293,0,12,4,1005,688,100,0,0,0,0,3,
426083,440023,2293,0,15,7,1008,689,100,0,0,0,0,3,
425350,439701,2279,0,16,7,1005,688,100,0,0,0,0,3,
424492,439333,2260,0,14,6,1008,689,100,0,0,0,0,3,
424050,439154,2254,0,12,4,1006,690,100,0,0,0,0,3,
423949,439140,2252,0,11,5,1005,690,100,0,0,0,0,3,
424007,439177,2249,0,15,5,1005,690,100,0,0,0,0,3,
424095,439230,2248,0,14,5,1005,690,100,0,0,0,0,3,
424395,439367,2251,0,13,5,1007,691,100,0,0,0,0,3,
424549,439405,2256,0,13,5,1007,691,100,0,0,0,0,3,
424607,439423,2258,0,14,4,1007,693,100,0,0,0,0,3,
424750,439493,2258,0,15,6,1006,697,100,0,0,0,0,3,
424864,439572,2262,0,14,6,1005,700,100,0,0,0,0,3,
425045,439618,2266,0,14,6,1006,700,100,0,0,0,0,3,
425167,439667,2268,0,12,5,1005,698,100,0,0,0,0,3,
425229,439669,2277,0,11,4,1010,695,100,0,0,0,0,3,
425243,439649,2286,0,14,6,1007,691,100,0,0,0,0,3,
425431,439738,2291,0,17,6,1006,687,100,0,0,0,0,3,
425542,439768,2295,0,16,7,1007,684,100,0,0,0,0,3,
425696,439855,2294,0,12,5,1008,682,100,0,0,0,0,3,
425861,439910,2301,0,10,5,1007,680,100,0,0,0,0,3,
425925,439937,2306,0,13,5,1006,678,100,0,0,0,0,3,
425994,439951,2313,0,15,6,1005,677,100,0,0,0,0,3,
426134,439990,2318,0,15,6,1008,676,100,0,0,0,0,3,
426015,439945,2314,0,13,6,1005,679,100,0,0,0,0,3,
425252,439583,2299,0,14,4,1005,683,100,0,0,0,0,3,
424564,439320,2282,0,12,3,1002,685,100,0,0,0,0,3,
424135,439154,2276,0,12,5,1003,686,100,0,0,0,0,3,
424138,439184,2273,0,15,5,1005,684,100,0,0,0,0,3,
424166,439190,2271,0,15,5,1005,681,100,0,0,0,0,3,
424059,439126,2270,0,14,4,1008,678,100,0,0,0,0,3,
424091,439116,2276,0,14,4,1005,675,100,0,0,0,0,3,
424261,439191,2282,0,13,5,1006,674,100,0,0,0,0,3,
424371,439215,2284,0,13,5,1002,672,100,0,0,0,0,3,
424297,439166,2286,0,12,6,1006,670,100,0,0,0,0,3,
424214,439098,2284,0,11,5,1004,669,100,0,0,0,0,3,
424277,439105,2290,0,12,4,1007,669,100,0,0,0,0,3,
424311,439101,2296,0,12,5,1005,669,100,0,0,0,0,3,
424492,439175,2299,0,14,8,1005,669,100,0,0,0,0,3,
424711,439286,2304,0,13,6,1006,669,100,0,0,0,0,3,
424943,439398,2307,0,14,6,1006,670,100,0,0,0,0,3,
425224,439527,2307,0,12,4,1007,669,100,0,0,0,0,3,
425465,439633,2312,0,12,6,1003,668,100,0,0,0,0,3,
425620,439680,2316,0,12,5,1005,668,100,0,0,0,0,3,
425626,439647,2320,0,11,5,1006,668,100,0,0,0,0,3,
425689,439662,2325,0,13,7,1004,668,100,0,0,0,0,3,
425858,439722,2326,0,14,7,1006,668,100,0,0,0,0,3,
425892,439749,2331,0,12,6,1005,668,100,0,0,0,0,3,
425355,439488,2320,0,14,6,1006,668,100,0,0,0,0,3,
424329,439025,2303,0,12,5,1004,667,100,0,0,0,0,3,
423483,438627,2294,0,12,6,1008,669,100,0,0,0,0,3,
422964,438383,2287,0,13,6,1007,672,100,0,0,0,0,3,
422768,438321,2280,0,15,7,1006,674,100,0,0,0,0,3,
422615,438245,2279,0,13,5,1004,671,100,0,0,0,0,3,
422472,438155,2281,0,11,7,1009,668,100,0,0,0,0,3,
422585,438200,2285,0,13,7,1006,667,100,0,0,0,0,3,
422666,438218,2284,0,14,5,1005,667,100,0,0,0,0,3,
422642,438190,2283,0,13,7,1006,667,100,0,0,0,0,3,
422635,438188,2286,0,10,5,1007,667,100,0,0,0,0,3,
422629,438191,2288,0,12,6,1005,667,100,0,0,0,0,3,
422697,438204,2291,0,12,5,1007,666,100,0,0,0,0,3,
422819,438233,2296,0,12,6,1007,666,100,0,0,0,0,3,
422868,438219,2295,0,12,7,1005,665,100,0,0,0,0,3,
422935,438232,2301,0,14,7,1005,665,100,0,0,0,0,3,
423189,438355,2303,0,13,7,1005,664,100,0,0,0,0,3,
423396,438466,2303,0,11,6,1007,664,100,0,0,0,0,3,
423515,438483,2307,0,11,5,1006,663,100,0,0,0,0,3,
423837,438677,2303,0,11,7,1007,663,100,0,0,0,0,3,
424279,438893,2303,0,13,5,1007,662,100,0,0,0,0,3,
424568,439042,2305,0,13,5,1004,662,100,0,0,0,0,3,
425048,439298,2307,0,11,5,1004,661,100,0,0,0,0,3,
425377,439443,2306,0,11,6,1007,661,100,0,0,0,0,3,
424592,439061,2293,0,12,5,1007,660,100,0,0,0,0,3,
423700,438663,2274,0,11,6,1015,660,100,0,0,0,0,3,
423170,438449,2268,0,14,7,1000,659,100,0,0,0,0,3,
422947,438336,2264,0,13,6,1007,659,100,0,0,0,0,3,
422976,438372,2258,0,11,7,1008,658,100,0,0,0,0,3,
423052,438424,2255,0,13,7,1002,658,100,0,0,0,0,3,
423219,438498,2255,0,9,6,1007,658,100,0,0,0,0,3,
423486,438592,2263,0,11,6,1006,658,100,0,0,0,0,3,
423719,438703,2264,0,11,6,1006,658,100,0,0,0,0,3,
423953,438805,2264,0,14,5,1008,658,100,0,0,0,0,3,
424128,438885,2265,0,14,6,1005,659,100,0,0,0,0,3,
424426,438982,2264,0,11,5,1004,659,100,0,0,0,0,3,
424839,439200,2266,0,11,5,1004,659,100,0,0,0,0,3,
425151,439305,2270,0,12,5,1006,659,100,0,0,0,0,3,
425420,439396,2273,0,12,5,1005,659,100,0,0,0,0,3,
425813,439614,2277,0,13,6,1008,659,100,0,0,0,0,3,
426252,439783,2281,0,17,6,1005,660,100,0,0,0,0,3,
426469,439844,2284,0,13,7,1006,659,100,0,0,0,0,3,
426728,439955,2290,0,14,5,1009,659,100,0,0,0,0,3,
426968,440051,2298,0,12,5,1004,658,100,0,0,0,0,3,
427018,440049,2306,0,11,6,1007,658,100,0,0,0,0,3,
427031,440013,2313,0,12,5,1004,657,100,0,0,0,0,3,
427217,440095,2317,0,13,7,1008,657,100,0,0,0,0,3,
427272,440069,2328,0,14,7,1005,658,100,0,0,0,0,3,
426483,439658,2319,0,14,5,1007,658,100,0,0,0,0,3,
425336,439154,2302,0,12,6,1006,658,100,0,0,0,0,3,
424791,438922,2299,0,10,7,1007,658,100,0,0,0,0,3,
424711,438913,2292,0,12,4,1007,658,100,0,0,0,0,3,
424764,438945,2292,0,12,7,1005,658,100,0,0,0,0,3,
424804,438970,2294,0,13,5,1009,657,100,0,0,0,0,3,
425021,439078,2297,0,13,6,1007,657,100,0,0,0,0,3,
425445,439251,2302,0,11,6,1005,657,100,0,0,0,0,3,
425664,439353,2304,0,10,5,1007,656,100,0,0,0,0,3,
425768,439375,2301,0,11,6,1006,656,100,0,0,0,0,3,
425962,439460,2305,0,12,6,1003,656,100,0,0,0,0,3,
426493,439732,2308,0,13,5,1009,656,100,0,0,0,0,3,
427023,439980,2313,0,15,7,1009,655,100,0,0,0,0,3,
427601,440278,2318,0,14,6,1006,655,100,0,0,0,0,3,
428225,440553,2318,0,12,4,1006,655,100,0,0,0,0,3,
428541,440665,2327,0,10,6,1003,654,100,0,0,0,0,3,
428828,440787,2332,0,11,6,1003,654,100,0,0,0,0,3,
429085,440886,2335,0,10,5,1007,654,100,0,0,0,0,3,
429104,440845,2342,0,12,6,1007,654,100,0,0,0,0,3,
429200,440866,2345,0,14,6,1006,653,100,0,0,0,0,3,
429386,440938,2346,0,14,7,1005,653,100,0,0,0,0,3,
429516,440977,2351,0,10,5,1004,653,100,0,0,0,0,3,
429751,441053,2356,0,10,4,1004,653,100,0,0,0,0,3,
429598,440947,2358,0,12,5,1006,653,100,0,0,0,0,3,
428179,440250,2340,0,12,6,1007,653,100,0,0,0,0,3,
426964,439722,2320,0,11,7,1004,653,100,0,0,0,0,3,
426591,439564,2316,0,13,5,1007,653,100,0,0,0,0,3,
426474,439490,2313,0,11,5,1007,652,100,0,0,0,0,3,
426435,439445,2309,0,9,4,1007,652,100,0,0,0,0,3,
426386,439413,2307,0,11,5,1004,652,100,0,0,0,0,3,
426538,439456,2307,0,16,7,1007,651,100,0,0,0,0,3,
426825,439585,2313,0,15,6,1000,651,100,0,0,0,0,3,
426973,439620,2315,0,14,9,1010,651,100,0,0,0,0,3,
426690,439420,2318,0,12,4,999,651,100,0,0,0,0,3,
426584,439381,2320,0,12,5,1014,650,100,0,0,0,0,3,
426805,439469,2318,0,11,7,1007,650,100,0,0,0,0,3,
427167,439618,2325,0,10,6,1005,650,100,0,0,0,0,3,
427167,439618,2325,0,10,6,1005,650,100,0,0,0,0,3,
427479,439767,2329,0,12,5,1008,649,100,0,0,0,0,3,
427818,439941,2333,0,14,8,1009,649,100,0,0,0,0,3,
428105,440072,2334,0,14,5,1005,648,100,0,0,0,0,3,
428339,440177,2336,0,12,5,1009,648,100,0,0,0,0,3,
428614,440317,2334,0,11,7,1004,648,100,0,0,0,0,3,
428877,440388,2339,0,13,6,1007,648,100,0,0,0,0,3,
428960,440429,2342,0,12,5,1007,648,100,0,0,0,0,3,
429048,440419,2345,0,11,5,1006,647,100,0,0,0,0,3,
